Year,Site,Transect,Plot,Plant_ID,Aspect,PlotSlope,Prev_year_precip,Change_TotalCulms,Change_ReproductiveCulms,Change_BGDensity,Change_BGCover,Change_ShrubCover,Change_HerbCover,Init_BGDensity,Init_BGCover,Init_ShrubCover,Init_HerbCover
2022,TumamocHill,5_6,219,146,W,16.4,244.38,4,0,-9.75,-50,-3,-11,5.375,40,10,3.5
2021,TumamocHill,5_6,219,147,W,16.4,360.76,-12,-11,11.125,35,0,8.5,5.375,40,10,3.5
2022,TumamocHill,5_6,219,147,W,16.4,244.38,-2,0,-9.75,-50,-3,-11,5.375,40,10,3.5
2021,TumamocHill,5_6,220,148,W,17.2,360.76,-34,-29,6.375,0,-15,-1,9.125,50,30,4
2022,TumamocHill,5_6,220,148,W,17.2,244.38,0,0,-7,-30,-5,-2.5,9.125,50,30,4
2021,TumamocHill,5_6,220,149,W,17.2,360.76,-8,-5,6.375,0,-15,-1,9.125,50,30,4
2022,TumamocHill,5_6,220,149,W,17.2,244.38,0,0,-7,-30,-5,-2.5,9.125,50,30,4
2021,TumamocHill,5_6,220,150,W,17.2,360.76,-4,-5,6.375,0,-15,-1,9.125,50,30,4
2022,TumamocHill,5_6,220,150,W,17.2,244.38,-3,0,-7,-30,-5,-2.5,9.125,50,30,4
2021,TumamocHill,5_6,220,151,W,17.2,360.76,-26,-23,6.375,0,-15,-1,9.125,50,30,4
2022,TumamocHill,5_6,220,151,W,17.2,244.38,-5,0,-7,-30,-5,-2.5,9.125,50,30,4
2021,TumamocHill,5_6,220,152,W,17.2,360.76,-5,-7,6.375,0,-15,-1,9.125,50,30,4
2022,TumamocHill,5_6,220,152,W,17.2,244.38,-4,0,-7,-30,-5,-2.5,9.125,50,30,4
2021,TumamocHill,5_6,220,153,W,17.2,360.76,-10,-9,6.375,0,-15,-1,9.125,50,30,4
2022,TumamocHill,5_6,220,153,W,17.2,244.38,-3,0,-7,-30,-5,-2.5,9.125,50,30,4
2021,TumamocHill,5_6,220,154,W,17.2,360.76,-7,-5,6.375,0,-15,-1,9.125,50,30,4
2022,TumamocHill,5_6,220,154,W,17.2,244.38,0,0,-7,-30,-5,-2.5,9.125,50,30,4
2021,TumamocHill,5_6,220,155,W,17.2,360.76,-25,-23,6.375,0,-15,-1,9.125,50,30,4
2022,TumamocHill,5_6,220,155,W,17.2,244.38,0,0,-7,-30,-5,-2.5,9.125,50,30,4
2021,TumamocHill,5_6,220,156,W,17.2,360.76,-6,-4,6.375,0,-15,-1,9.125,50,30,4
2022,TumamocHill,5_6,220,156,W,17.2,244.38,0,0,-7,-30,-5,-2.5,9.125,50,30,4
2021,TumamocHill,5_6,220,157,W,17.2,360.76,1,-2,6.375,0,-15,-1,9.125,50,30,4
2022,TumamocHill,5_6,220,157,W,17.2,244.38,-3,0,-7,-30,-5,-2.5,9.125,50,30,4
2021,TumamocHill,5_4,221,158,W,15.6,375.12,12,8,3.6875,10,0,0.5,3.1875,70,0,1
2022,TumamocHill,5_4,221,158,W,15.6,244.42,1,-11,-3,-15,0,-1.5,3.1875,70,0,1
2021,TumamocHill,5_4,221,159,W,15.6,375.12,8,0,3.6875,10,0,0.5,3.1875,70,0,1
2022,TumamocHill,5_4,221,159,W,15.6,244.42,11,-2,-3,-15,0,-1.5,3.1875,70,0,1
2021,TumamocHill,5_4,221,160,W,15.6,375.12,58,43,3.6875,10,0,0.5,3.1875,70,0,1
2022,TumamocHill,5_4,221,160,W,15.6,244.42,-4,-27,-3,-15,0,-1.5,3.1875,70,0,1
2021,TumamocHill,5_4,221,161,W,15.6,375.12,-7,-2,3.6875,10,0,0.5,3.1875,70,0,1
2022,TumamocHill,5_4,221,161,W,15.6,244.42,-1,0,-3,-15,0,-1.5,3.1875,70,0,1
2021,TumamocHill,5_4,221,162,W,15.6,375.12,-36,-32,3.6875,10,0,0.5,3.1875,70,0,1
2022,TumamocHill,5_4,221,162,W,15.6,244.42,0,-3,-3,-15,0,-1.5,3.1875,70,0,1
2021,TumamocHill,5_4,221,163,W,15.6,375.12,58,35,3.6875,10,0,0.5,3.1875,70,0,1
2022,TumamocHill,5_4,221,163,W,15.6,244.42,-2,-30,-3,-15,0,-1.5,3.1875,70,0,1
2021,TumamocHill,5_4,221,164,W,15.6,375.12,20,14,3.6875,10,0,0.5,3.1875,70,0,1
2022,TumamocHill,5_4,221,164,W,15.6,244.42,3,-1,-3,-15,0,-1.5,3.1875,70,0,1
2021,TumamocHill,5_4,221,165,W,15.6,375.12,55,35,3.6875,10,0,0.5,3.1875,70,0,1
2022,TumamocHill,5_4,221,165,W,15.6,244.42,21,-17,-3,-15,0,-1.5,3.1875,70,0,1
2021,TumamocHill,5_4,221,166,W,15.6,375.12,-18,-19,3.6875,10,0,0.5,3.1875,70,0,1
2022,TumamocHill,5_4,221,166,W,15.6,244.42,2,0,-3,-15,0,-1.5,3.1875,70,0,1
2021,TumamocHill,5_4,221,167,W,15.6,375.12,-5,-3,3.6875,10,0,0.5,3.1875,70,0,1
2022,TumamocHill,5_4,221,167,W,15.6,244.42,19,8,-3,-15,0,-1.5,3.1875,70,0,1
2021,TumamocHill,5_4,222,168,W,22.2,375.12,5,2,0.875,5,-9,5,2.5625,45,25,1
2022,TumamocHill,5_4,222,168,W,22.2,244.42,3,-2,-0.4375,-20,2,-6,2.5625,45,25,1
2021,TumamocHill,5_4,222,169,W,22.2,375.12,27,22,0.875,5,-9,5,2.5625,45,25,1
2022,TumamocHill,5_4,222,169,W,22.2,244.42,-25,-19,-0.4375,-20,2,-6,2.5625,45,25,1
2021,TumamocHill,5_4,222,170,W,22.2,375.12,63,59,0.875,5,-9,5,2.5625,45,25,1
2022,TumamocHill,5_4,222,170,W,22.2,244.42,27,-8,-0.4375,-20,2,-6,2.5625,45,25,1
2021,TumamocHill,5_4,222,171,W,22.2,375.12,59,41,0.875,5,-9,5,2.5625,45,25,1
2022,TumamocHill,5_4,222,171,W,22.2,244.42,-23,-31,-0.4375,-20,2,-6,2.5625,45,25,1
2021,TumamocHill,5_4,222,172,W,22.2,375.12,38,35,0.875,5,-9,5,2.5625,45,25,1
2022,TumamocHill,5_4,222,172,W,22.2,244.42,-9,-26,-0.4375,-20,2,-6,2.5625,45,25,1
2021,TumamocHill,5_4,222,174,W,22.2,375.12,51,41,0.875,5,-9,5,2.5625,45,25,1
2022,TumamocHill,5_4,222,174,W,22.2,244.42,0,-15,-0.4375,-20,2,-6,2.5625,45,25,1
2021,TumamocHill,5_4,222,175,W,22.2,375.12,3,1,0.875,5,-9,5,2.5625,45,25,1
2022,TumamocHill,5_4,222,175,W,22.2,244.42,1,1,-0.4375,-20,2,-6,2.5625,45,25,1
2021,TumamocHill,5_4,222,176,W,22.2,375.12,56,25,0.875,5,-9,5,2.5625,45,25,1
2022,TumamocHill,5_4,222,176,W,22.2,244.42,-36,-45,-0.4375,-20,2,-6,2.5625,45,25,1
2021,TumamocHill,5_4,222,177,W,22.2,375.12,28,13,0.875,5,-9,5,2.5625,45,25,1
2022,TumamocHill,5_4,222,177,W,22.2,244.42,-16,-17,-0.4375,-20,2,-6,2.5625,45,25,1
2021,TumamocHill,5_4,223,178,W,19.4,375.12,18,22,1.3125,30,-8,2,3.4375,60,20,1
2022,TumamocHill,5_4,223,178,W,19.4,244.42,-18,-22,-1.25,-35,-2,-3,3.4375,60,20,1
2021,TumamocHill,5_4,223,179,W,19.4,375.12,23,38,1.3125,30,-8,2,3.4375,60,20,1
2022,TumamocHill,5_4,223,179,W,19.4,244.42,-36,-40,-1.25,-35,-2,-3,3.4375,60,20,1
2021,TumamocHill,5_4,223,180,W,19.4,375.12,17,17,1.3125,30,-8,2,3.4375,60,20,1
2022,TumamocHill,5_4,223,180,W,19.4,244.42,-28,-27,-1.25,-35,-2,-3,3.4375,60,20,1
2021,TumamocHill,5_4,223,181,W,19.4,375.12,3,9,1.3125,30,-8,2,3.4375,60,20,1
2022,TumamocHill,5_4,223,181,W,19.4,244.42,-17,-31,-1.25,-35,-2,-3,3.4375,60,20,1
2021,TumamocHill,5_4,223,182,W,19.4,375.12,4,10,1.3125,30,-8,2,3.4375,60,20,1
2022,TumamocHill,5_4,223,182,W,19.4,244.42,-4,-15,-1.25,-35,-2,-3,3.4375,60,20,1
2021,TumamocHill,5_4,223,183,W,19.4,375.12,4,1,1.3125,30,-8,2,3.4375,60,20,1
2022,TumamocHill,5_4,223,183,W,19.4,244.42,-5,-2,-1.25,-35,-2,-3,3.4375,60,20,1
2021,TumamocHill,5_4,223,184,W,19.4,375.12,39,27,1.3125,30,-8,2,3.4375,60,20,1
2022,TumamocHill,5_4,223,184,W,19.4,244.42,11,3,-1.25,-35,-2,-3,3.4375,60,20,1
2021,TumamocHill,5_4,223,185,W,19.4,375.12,30,29,1.3125,30,-8,2,3.4375,60,20,1
2022,TumamocHill,5_4,223,185,W,19.4,244.42,-24,-25,-1.25,-35,-2,-3,3.4375,60,20,1
2021,TumamocHill,5_4,223,186,W,19.4,375.12,78,59,1.3125,30,-8,2,3.4375,60,20,1
2022,TumamocHill,5_4,223,186,W,19.4,244.42,-6,-17,-1.25,-35,-2,-3,3.4375,60,20,1
2021,TumamocHill,5_4,223,187,W,19.4,375.12,45,26,1.3125,30,-8,2,3.4375,60,20,1
2022,TumamocHill,5_4,223,187,W,19.4,244.42,-9,-24,-1.25,-35,-2,-3,3.4375,60,20,1
2021,TumamocHill,4_3,257,188,S,31.6,373.68,-10,-8,7.9375,25,-6,9,3.4375,25,15,1
2021,TumamocHill,4_3,257,189,S,31.6,373.68,-15,-11,7.9375,25,-6,9,3.4375,25,15,1
2021,TumamocHill,4_3,257,193,S,31.6,373.68,-26,-22,7.9375,25,-6,9,3.4375,25,15,1
2021,TumamocHill,4_3,257,194,S,31.6,373.68,-21,-21,7.9375,25,-6,9,3.4375,25,15,1
2021,TumamocHill,4_3,257,195,S,31.6,373.68,-35,-17,7.9375,25,-6,9,3.4375,25,15,1
2021,TumamocHill,4_3,257,196,S,31.6,373.68,-18,-12,7.9375,25,-6,9,3.4375,25,15,1
2021,TumamocHill,4_3,257,197,S,31.6,373.68,-20,-10,7.9375,25,-6,9,3.4375,25,15,1
2021,TumamocHill,4_3,258,198,S,25,373.68,-17,-15,7.625,10,-2,5.5,2.5,25,25,0.5
2021,TumamocHill,4_3,258,199,S,25,373.68,-41,-37,7.625,10,-2,5.5,2.5,25,25,0.5
2021,TumamocHill,4_3,258,200,S,25,373.68,-6,-5,7.625,10,-2,5.5,2.5,25,25,0.5
2021,TumamocHill,4_3,258,201,S,25,373.68,-49,-38,7.625,10,-2,5.5,2.5,25,25,0.5
2021,TumamocHill,4_3,258,202,S,25,373.68,2,-7,7.625,10,-2,5.5,2.5,25,25,0.5
2021,TumamocHill,4_3,258,203,S,25,373.68,-22,-19,7.625,10,-2,5.5,2.5,25,25,0.5
2021,TumamocHill,4_3,258,204,S,25,373.68,-69,-53,7.625,10,-2,5.5,2.5,25,25,0.5
2021,TumamocHill,4_3,258,205,S,25,373.68,16,-1,7.625,10,-2,5.5,2.5,25,25,0.5
2021,TumamocHill,4_3,258,206,S,25,373.68,-20,-18,7.625,10,-2,5.5,2.5,25,25,0.5
2021,TumamocHill,4_3,258,207,S,25,373.68,7,-1,7.625,10,-2,5.5,2.5,25,25,0.5
2021,TumamocHill,4_3,259,208,S,24,373.68,4,-3,6.625,11,0,1,4,25,25,0
2021,TumamocHill,4_3,259,209,S,24,373.68,-5,-3,6.625,11,0,1,4,25,25,0
2021,TumamocHill,4_3,259,210,S,24,373.68,-13,-10,6.625,11,0,1,4,25,25,0
2021,TumamocHill,4_3,259,211,S,24,373.68,-56,-37,6.625,11,0,1,4,25,25,0
2021,TumamocHill,4_3,259,212,S,24,373.68,2,-4,6.625,11,0,1,4,25,25,0
2021,TumamocHill,4_3,259,213,S,24,373.68,5,-1,6.625,11,0,1,4,25,25,0
2021,TumamocHill,4_3,259,214,S,24,373.68,-39,-42,6.625,11,0,1,4,25,25,0
2021,TumamocHill,4_3,259,215,S,24,373.68,-10,-7,6.625,11,0,1,4,25,25,0
2021,TumamocHill,4_3,259,216,S,24,373.68,-54,-46,6.625,11,0,1,4,25,25,0
2021,TumamocHill,4_3,259,217,S,24,373.68,-22,-32,6.625,11,0,1,4,25,25,0
2021,TumamocHill,3_3,254,224,E,13.4,359.52,-12,-11,26.6875,25,5,13,2.5625,25,10,2
2021,TumamocHill,3_3,254,225,E,13.4,359.52,-28,-13,26.6875,25,5,13,2.5625,25,10,2
2021,TumamocHill,3_3,254,226,E,13.4,359.52,-43,-26,26.6875,25,5,13,2.5625,25,10,2
2021,TumamocHill,3_3,254,227,E,13.4,359.52,-11,-5,26.6875,25,5,13,2.5625,25,10,2
2021,TumamocHill,3_3,254,228,E,13.4,359.52,-17,-11,26.6875,25,5,13,2.5625,25,10,2
2021,TumamocHill,3_3,254,229,E,13.4,359.52,-16,-3,26.6875,25,5,13,2.5625,25,10,2
2021,TumamocHill,3_3,254,230,E,13.4,359.52,-36,-22,26.6875,25,5,13,2.5625,25,10,2
2021,TumamocHill,3_3,254,231,E,13.4,359.52,-10,-3,26.6875,25,5,13,2.5625,25,10,2
2021,TumamocHill,3_3,254,232,E,13.4,359.52,-51,-25,26.6875,25,5,13,2.5625,25,10,2
2021,TumamocHill,3_3,254,233,E,13.4,359.52,-43,-21,26.6875,25,5,13,2.5625,25,10,2
2021,TumamocHill,3_3,255,234,E,11.8,359.52,-20,-8,26.375,20,5,25,4.375,30,5,1
2021,TumamocHill,3_3,255,235,E,11.8,359.52,-17,-10,26.375,20,5,25,4.375,30,5,1
2021,TumamocHill,3_3,255,236,E,11.8,359.52,-7,-4,26.375,20,5,25,4.375,30,5,1
2021,TumamocHill,3_3,255,237,E,11.8,359.52,-25,-15,26.375,20,5,25,4.375,30,5,1
2021,TumamocHill,3_3,255,238,E,11.8,359.52,-6,-2,26.375,20,5,25,4.375,30,5,1
2021,TumamocHill,3_3,255,239,E,11.8,359.52,-19,-10,26.375,20,5,25,4.375,30,5,1
2021,TumamocHill,3_3,255,240,E,11.8,359.52,-7,-2,26.375,20,5,25,4.375,30,5,1
2021,TumamocHill,3_3,255,241,E,11.8,359.52,-12,-8,26.375,20,5,25,4.375,30,5,1
2021,TumamocHill,3_3,255,242,E,11.8,359.52,-13,-10,26.375,20,5,25,4.375,30,5,1
2021,TumamocHill,3_3,255,243,E,11.8,359.52,-58,-43,26.375,20,5,25,4.375,30,5,1
2021,TumamocHill,3_3,256,244,E,12.8,359.52,-37,-29,32.0625,35,-2,27.5,3.9375,30,15,0.5
2021,TumamocHill,3_3,256,245,E,12.8,359.52,-23,-13,32.0625,35,-2,27.5,3.9375,30,15,0.5
2021,TumamocHill,3_3,256,246,E,12.8,359.52,-4,-1,32.0625,35,-2,27.5,3.9375,30,15,0.5
2021,TumamocHill,3_3,256,247,E,12.8,359.52,-18,-12,32.0625,35,-2,27.5,3.9375,30,15,0.5
2021,TumamocHill,3_3,256,248,E,12.8,359.52,-39,-20,32.0625,35,-2,27.5,3.9375,30,15,0.5
2021,TumamocHill,3_3,256,249,E,12.8,359.52,-11,-7,32.0625,35,-2,27.5,3.9375,30,15,0.5
2021,TumamocHill,3_3,256,250,E,12.8,359.52,-6,-12,32.0625,35,-2,27.5,3.9375,30,15,0.5
2021,TumamocHill,3_3,256,251,E,12.8,359.52,-28,-6,32.0625,35,-2,27.5,3.9375,30,15,0.5
2021,TumamocHill,3_3,256,252,E,12.8,359.52,-6,-2,32.0625,35,-2,27.5,3.9375,30,15,0.5
2021,TumamocHill,3_3,256,253,E,12.8,359.52,-3,-5,32.0625,35,-2,27.5,3.9375,30,15,0.5
2021,TumamocHill,4_1,263,266,S,11.8,373.85,-38,-87,7.8125,-40,-3,0,3.0625,80,3,1
2022,TumamocHill,4_1,263,266,S,11.8,263.58,34,48,-3.6875,15,5,-1,3.0625,80,3,1
2021,TumamocHill,4_1,263,267,S,11.8,373.85,1,-29,7.8125,-40,-3,0,3.0625,80,3,1
2022,TumamocHill,4_1,263,267,S,11.8,263.58,0,20,-3.6875,15,5,-1,3.0625,80,3,1
2021,TumamocHill,4_1,263,268,S,11.8,373.85,-11,-12,7.8125,-40,-3,0,3.0625,80,3,1
2022,TumamocHill,4_1,263,268,S,11.8,263.58,1,1,-3.6875,15,5,-1,3.0625,80,3,1
2021,TumamocHill,4_1,263,269,S,11.8,373.85,-30,-25,7.8125,-40,-3,0,3.0625,80,3,1
2022,TumamocHill,4_1,263,269,S,11.8,263.58,-1,0,-3.6875,15,5,-1,3.0625,80,3,1
2021,TumamocHill,4_1,263,270,S,11.8,373.85,23,-29,7.8125,-40,-3,0,3.0625,80,3,1
2022,TumamocHill,4_1,263,270,S,11.8,263.58,8,37,-3.6875,15,5,-1,3.0625,80,3,1
2021,TumamocHill,4_1,263,271,S,11.8,373.85,3,-21,7.8125,-40,-3,0,3.0625,80,3,1
2022,TumamocHill,4_1,263,271,S,11.8,263.58,-24,-4,-3.6875,15,5,-1,3.0625,80,3,1
2021,TumamocHill,4_1,263,272,S,11.8,373.85,8,-31,7.8125,-40,-3,0,3.0625,80,3,1
2022,TumamocHill,4_1,263,272,S,11.8,263.58,26,20,-3.6875,15,5,-1,3.0625,80,3,1
2021,TumamocHill,4_1,263,273,S,11.8,373.85,-14,-10,7.8125,-40,-3,0,3.0625,80,3,1
2022,TumamocHill,4_1,263,273,S,11.8,263.58,0,0,-3.6875,15,5,-1,3.0625,80,3,1
2021,TumamocHill,4_1,263,274,S,11.8,373.85,6,-25,7.8125,-40,-3,0,3.0625,80,3,1
2022,TumamocHill,4_1,263,274,S,11.8,263.58,13,23,-3.6875,15,5,-1,3.0625,80,3,1
2021,TumamocHill,4_1,263,275,S,11.8,373.85,-9,-20,7.8125,-40,-3,0,3.0625,80,3,1
2022,TumamocHill,4_1,263,275,S,11.8,263.58,33,19,-3.6875,15,5,-1,3.0625,80,3,1
2021,TumamocHill,4_1,264,276,S,13.8,373.85,-29,-19,11.9375,8,5,1,2,12,10,1.5
2022,TumamocHill,4_1,264,276,S,13.8,263.58,0,0,-8.0625,-8,4,1,2,12,10,1.5
2021,TumamocHill,4_1,264,277,S,13.8,373.85,-27,-17,11.9375,8,5,1,2,12,10,1.5
2022,TumamocHill,4_1,264,277,S,13.8,263.58,-1,3,-8.0625,-8,4,1,2,12,10,1.5
2021,TumamocHill,4_1,264,278,S,13.8,373.85,38,19,11.9375,8,5,1,2,12,10,1.5
2022,TumamocHill,4_1,264,278,S,13.8,263.58,38,23,-8.0625,-8,4,1,2,12,10,1.5
2021,TumamocHill,4_1,264,279,S,13.8,373.85,-6,-1,11.9375,8,5,1,2,12,10,1.5
2022,TumamocHill,4_1,264,279,S,13.8,263.58,1,-6,-8.0625,-8,4,1,2,12,10,1.5
2021,TumamocHill,4_1,264,280,S,13.8,373.85,-69,-43,11.9375,8,5,1,2,12,10,1.5
2022,TumamocHill,4_1,264,280,S,13.8,263.58,13,2,-8.0625,-8,4,1,2,12,10,1.5
2021,TumamocHill,4_1,264,281,S,13.8,373.85,-13,-13,11.9375,8,5,1,2,12,10,1.5
2022,TumamocHill,4_1,264,281,S,13.8,263.58,-10,0,-8.0625,-8,4,1,2,12,10,1.5
2021,TumamocHill,4_1,264,282,S,13.8,373.85,-11,-2,11.9375,8,5,1,2,12,10,1.5
2022,TumamocHill,4_1,264,282,S,13.8,263.58,-1,0,-8.0625,-8,4,1,2,12,10,1.5
2021,TumamocHill,4_1,264,283,S,13.8,373.85,-5,-1,11.9375,8,5,1,2,12,10,1.5
2022,TumamocHill,4_1,264,283,S,13.8,263.58,0,0,-8.0625,-8,4,1,2,12,10,1.5
2021,TumamocHill,4_1,264,284,S,13.8,373.85,-1,-16,11.9375,8,5,1,2,12,10,1.5
2022,TumamocHill,4_1,264,284,S,13.8,263.58,-16,0,-8.0625,-8,4,1,2,12,10,1.5
2021,TumamocHill,4_1,264,285,S,13.8,373.85,-16,-9,11.9375,8,5,1,2,12,10,1.5
2022,TumamocHill,4_1,264,285,S,13.8,263.58,0,0,-8.0625,-8,4,1,2,12,10,1.5
2021,TumamocHill,4_1,265,286,S,11.4,373.85,-17,-12,27.1875,-5,-3,1,3.9375,30,18,1
2022,TumamocHill,4_1,265,286,S,11.4,263.58,0,0,-23.4375,-10,0,2,3.9375,30,18,1
2021,TumamocHill,4_1,265,287,S,11.4,373.85,-11,-11,27.1875,-5,-3,1,3.9375,30,18,1
2022,TumamocHill,4_1,265,287,S,11.4,263.58,-3,0,-23.4375,-10,0,2,3.9375,30,18,1
2021,TumamocHill,4_1,265,288,S,11.4,373.85,4,-3,27.1875,-5,-3,1,3.9375,30,18,1
2022,TumamocHill,4_1,265,288,S,11.4,263.58,-9,0,-23.4375,-10,0,2,3.9375,30,18,1
2021,TumamocHill,4_1,265,289,S,11.4,373.85,-19,-15,27.1875,-5,-3,1,3.9375,30,18,1
2022,TumamocHill,4_1,265,289,S,11.4,263.58,-5,0,-23.4375,-10,0,2,3.9375,30,18,1
2021,TumamocHill,4_1,265,290,S,11.4,373.85,-4,-6,27.1875,-5,-3,1,3.9375,30,18,1
2022,TumamocHill,4_1,265,290,S,11.4,263.58,-4,0,-23.4375,-10,0,2,3.9375,30,18,1
2021,TumamocHill,4_1,265,291,S,11.4,373.85,-10,-11,27.1875,-5,-3,1,3.9375,30,18,1
2022,TumamocHill,4_1,265,291,S,11.4,263.58,10,4,-23.4375,-10,0,2,3.9375,30,18,1
2021,TumamocHill,4_1,265,292,S,11.4,373.85,4,-7,27.1875,-5,-3,1,3.9375,30,18,1
2022,TumamocHill,4_1,265,292,S,11.4,263.58,9,-8,-23.4375,-10,0,2,3.9375,30,18,1
2021,TumamocHill,4_1,265,293,S,11.4,373.85,-9,-11,27.1875,-5,-3,1,3.9375,30,18,1
2022,TumamocHill,4_1,265,293,S,11.4,263.58,33,13,-23.4375,-10,0,2,3.9375,30,18,1
2021,TumamocHill,4_1,265,294,S,11.4,373.85,10,0,27.1875,-5,-3,1,3.9375,30,18,1
2022,TumamocHill,4_1,265,294,S,11.4,263.58,38,25,-23.4375,-10,0,2,3.9375,30,18,1
2021,TumamocHill,4_1,265,295,S,11.4,373.85,-11,-11,27.1875,-5,-3,1,3.9375,30,18,1
2022,TumamocHill,4_1,265,295,S,11.4,263.58,-10,0,-23.4375,-10,0,2,3.9375,30,18,1
2021,TumamocHill,4_2,296,301,S,8,373.91,8,7,-2,-5,-12,-12,6.4375,65,30,18
2022,TumamocHill,4_2,296,301,S,8,263.63,15,-3,0.6875,-8,-1,-4,6.4375,65,30,18
2021,TumamocHill,4_2,296,302,S,8,373.91,-3,1,-2,-5,-12,-12,6.4375,65,30,18
2022,TumamocHill,4_2,296,302,S,8,263.63,4,3,0.6875,-8,-1,-4,6.4375,65,30,18
2021,TumamocHill,4_2,296,303,S,8,373.91,4,-17,-2,-5,-12,-12,6.4375,65,30,18
2022,TumamocHill,4_2,296,303,S,8,263.63,16,12,0.6875,-8,-1,-4,6.4375,65,30,18
2021,TumamocHill,4_2,296,304,S,8,373.91,6,-1,-2,-5,-12,-12,6.4375,65,30,18
2022,TumamocHill,4_2,296,304,S,8,263.63,-3,0,0.6875,-8,-1,-4,6.4375,65,30,18
2021,TumamocHill,4_2,296,305,S,8,373.91,-3,-2,-2,-5,-12,-12,6.4375,65,30,18
2022,TumamocHill,4_2,296,305,S,8,263.63,7,2,0.6875,-8,-1,-4,6.4375,65,30,18
2021,TumamocHill,4_2,296,306,S,8,373.91,17,-21,-2,-5,-12,-12,6.4375,65,30,18
2022,TumamocHill,4_2,296,306,S,8,263.63,-12,-11,0.6875,-8,-1,-4,6.4375,65,30,18
2021,TumamocHill,4_2,296,307,S,8,373.91,3,-4,-2,-5,-12,-12,6.4375,65,30,18
2022,TumamocHill,4_2,296,307,S,8,263.63,15,3,0.6875,-8,-1,-4,6.4375,65,30,18
2021,TumamocHill,4_2,296,308,S,8,373.91,15,-23,-2,-5,-12,-12,6.4375,65,30,18
2022,TumamocHill,4_2,296,308,S,8,263.63,7,3,0.6875,-8,-1,-4,6.4375,65,30,18
2021,TumamocHill,4_2,296,309,S,8,373.91,26,-10,-2,-5,-12,-12,6.4375,65,30,18
2022,TumamocHill,4_2,296,309,S,8,263.63,-10,6,0.6875,-8,-1,-4,6.4375,65,30,18
2021,TumamocHill,4_2,296,310,S,8,373.91,-13,-5,-2,-5,-12,-12,6.4375,65,30,18
2022,TumamocHill,4_2,296,310,S,8,263.63,0,0,0.6875,-8,-1,-4,6.4375,65,30,18
2021,TumamocHill,4_2,297,311,S,9.2,373.91,17,14,0.75,-15,0,8.5,6.375,90,8,2
2022,TumamocHill,4_2,297,311,S,9.2,263.63,13,-16,0.5625,-20,-1,-10,6.375,90,8,2
2021,TumamocHill,4_2,297,312,S,9.2,373.91,-40,-15,0.75,-15,0,8.5,6.375,90,8,2
2022,TumamocHill,4_2,297,312,S,9.2,263.63,8,2,0.5625,-20,-1,-10,6.375,90,8,2
2021,TumamocHill,4_2,297,313,S,9.2,373.91,4,2,0.75,-15,0,8.5,6.375,90,8,2
2022,TumamocHill,4_2,297,313,S,9.2,263.63,1,-2,0.5625,-20,-1,-10,6.375,90,8,2
2021,TumamocHill,4_2,297,314,S,9.2,373.91,-62,-27,0.75,-15,0,8.5,6.375,90,8,2
2022,TumamocHill,4_2,297,314,S,9.2,263.63,-1,-8,0.5625,-20,-1,-10,6.375,90,8,2
2021,TumamocHill,4_2,297,315,S,9.2,373.91,-1,3,0.75,-15,0,8.5,6.375,90,8,2
2022,TumamocHill,4_2,297,315,S,9.2,263.63,5,-5,0.5625,-20,-1,-10,6.375,90,8,2
2021,TumamocHill,4_2,297,316,S,9.2,373.91,-45,-13,0.75,-15,0,8.5,6.375,90,8,2
2022,TumamocHill,4_2,297,316,S,9.2,263.63,9,-8,0.5625,-20,-1,-10,6.375,90,8,2
2021,TumamocHill,4_2,297,317,S,9.2,373.91,-5,-4,0.75,-15,0,8.5,6.375,90,8,2
2022,TumamocHill,4_2,297,317,S,9.2,263.63,-27,-8,0.5625,-20,-1,-10,6.375,90,8,2
2021,TumamocHill,4_2,297,318,S,9.2,373.91,-15,-6,0.75,-15,0,8.5,6.375,90,8,2
2022,TumamocHill,4_2,297,318,S,9.2,263.63,0,0,0.5625,-20,-1,-10,6.375,90,8,2
2021,TumamocHill,4_2,297,319,S,9.2,373.91,-25,-5,0.75,-15,0,8.5,6.375,90,8,2
2022,TumamocHill,4_2,297,319,S,9.2,263.63,4,3,0.5625,-20,-1,-10,6.375,90,8,2
2021,TumamocHill,4_2,297,320,S,9.2,373.91,-13,-3,0.75,-15,0,8.5,6.375,90,8,2
2022,TumamocHill,4_2,297,320,S,9.2,263.63,0,0,0.5625,-20,-1,-10,6.375,90,8,2
2021,TumamocHill,4_2,298,321,S,4.4,373.91,-9,-2,-0.6875,-30,5,9,4.0625,50,25,1.5
2022,TumamocHill,4_2,298,321,S,4.4,263.63,0,0,0.875,13,-7,-5.5,4.0625,50,25,1.5
2021,TumamocHill,4_2,298,322,S,4.4,373.91,-9,-1,-0.6875,-30,5,9,4.0625,50,25,1.5
2022,TumamocHill,4_2,298,322,S,4.4,263.63,4,-2,0.875,13,-7,-5.5,4.0625,50,25,1.5
2021,TumamocHill,4_2,298,323,S,4.4,373.91,-11,2,-0.6875,-30,5,9,4.0625,50,25,1.5
2022,TumamocHill,4_2,298,323,S,4.4,263.63,12,-7,0.875,13,-7,-5.5,4.0625,50,25,1.5
2021,TumamocHill,4_2,298,324,S,4.4,373.91,-17,-5,-0.6875,-30,5,9,4.0625,50,25,1.5
2022,TumamocHill,4_2,298,324,S,4.4,263.63,0,0,0.875,13,-7,-5.5,4.0625,50,25,1.5
